ORIGEN,PUERTO,LOCODE,COD_SIRENO,UNIPESCOD,ARTE,tipo_muestreo,TIP_MUESTREO,COD_DIVISION_SIRENO
Divisiones VIIIabde,Santander,ESSDR,402,BACA_AC,BACA,MT2A,2,038
Divisiones VIIIabde,Cillero,ESCIO,926,PALANGRE_AC,PALANGRE DE FONDO,MT2A,2,038
Divisiones VIIIabde,Santoña,ESSNN,409,CERCO_CN,CERCO,MT1A,1,038
Divisiones VIIIabde,Avilés,ESAVS,1418,ENMALLE_AC,VOLANTA,MT1A,1,038
Divisiones VIIIabde,Avilés,ESAVS,1418,PALANGRE_AC,PALANGRE DE FONDO,MT1A,1,038
Divisiones VIIIabde,A Coruña,ESLCG,907,PALANGRE_AC,PALANGRE DE FONDO,MT2A,2,038
Divisiones VIIIabde,Cillero,ESCIO,926,ENMALLE_AC,VOLANTA,MT2A,2,038
Divisiones VIIIabde,Gijón,ESGIJ,1417,BACA_AC,BACA,MT2A,2,038
Divisiones VIIIabde,Santander,ESSDR,402,BACA_AC,BACA,MT1A,1,038
Divisiones VIIIabde,Santander,ESSDR,402,ENMALLE_AC,VOLANTA,MT1A,1,038
Divisiones VIIIabde,Avilés,ESAVS,1418,PALANGRE_AC,PALANGRE DE FONDO,MT2A,2,038
Divisiones VIIIabde,Santoña,ESSNN,409,CERCO_CN,CERCO,MT2A,2,038
Divisiones VIIIabde,A Coruña,ESLCG,907,ENMALLE_AC,VOLANTA,MT1A,1,038
Divisiones VIIIabde,A Coruña,ESLCG,907,PALANGRE_AC,PALANGRE DE FONDO,MT1A,1,038
Subárea VI (ICES),A Coruña,ESLCG,907,PALANGRE_AC,PALANGRE DE FONDO,MT1A,1,001
Subárea VII (ICES),Cillero,ESCIO,926,ENMALLE_AC,VOLANTA,MT2A,2,002
Subárea VII (ICES),A Coruña,ESLCG,907,PALANGRE_AC,PALANGRE DE FONDO,MT1A,1,002
Subárea VII (ICES),A Coruña,ESLCG,907,MERLUCER_AC,BACA,MT2A,2,002
Subárea VII (ICES),A Coruña,ESLCG,907,PALANGRE_AC,PALANGRE DE FONDO,MT2A,2,002
Subárea VII (ICES),A Coruña,ESLCG,907,MERLUCER_AC,BACA,MT1A,1,002
Subárea VII (ICES),Santander,ESSDR,402,ENMALLE_AC,VOLANTA,MT1A,1,002
Subárea VII (ICES),Avilés,ESAVS,1418,PALANGRE_AC,PALANGRE DE FONDO,MT2A,2,002
Subárea VII (ICES),Cillero,ESCIO,926,PALANGRE_AC,PALANGRE DE FONDO,MT2A,2,002
Subárea VII (ICES),A Coruña,ESLCG,907,RAPANTER_AC,BACA,MT1A,1,002
Subárea VII (ICES),Vigo,ESVGO,922,RAPANTER_AC,BACA,MT2A,2,002
Subárea VII (ICES),Vigo,ESVGO,922,RAPANTER_AC,BACA,MT1A,1,002
Subdivisión IXa-Centro Norte,Vigo,ESVGO,922,BACA_APN,BACA,MT1A,1,058
Subdivisión IXa-Centro Norte,Vigo,ESVGO,922,BACA_APN,BACA,MT2A,2,058
Subdivisión IXa-Norte,A Coruña,ESLCG,907,BACA_CN,BACA,MT2A,2,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,JURELERA_CN,BACA,MT2A,2,010
Subdivisión IXa-Norte,A Coruña,ESLCG,907,CERCO_CN,CERCO,MT2A,2,010
Subdivisión IXa-Norte,Marín,ESMPG,921,BACA_CN,BACA,MT1A,1,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,PALANGRE_CN,PALANGRES,MT1A,1,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,PALANGRE_CN,PALANGRES,MT2A,2,010
Subdivisión IXa-Norte,Muros,ESMRS,914,BETA_CN,BETA,MT1A,1,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,PAREJA_CN,BACA,MT2A,2,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,PAREJA_CN,PAREJA,MT1A,1,010
Subdivisión IXa-Norte,Avilés,ESAVS,1418,TRASMALL_CN,TRASMALLO,MT1A,1,010
Subdivisión IXa-Norte,Finisterre,ESFNE,913,VOLANTA_CN,VOLANTA,MT1A,1,010
Subdivisión IXa-Norte,Finisterre,ESFNE,913,VOLANTA_CN,VOLANTA,MT2A,2,010
Subdivisión IXa-Norte,Vigo,ESVGO,922,CERCO_CN,CERCO,MT1A,1,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,TRASMALL_CN,TRASMALLO,MT1A,1,010
Subdivisión IXa-Norte,Vigo,ESVGO,922,CERCO_CN,CERCO,MT2A,2,010
Subdivisión IXa-Norte,A Coruña,ESLCG,907,PALANGRE_CN,PALANGRE DE FONDO,MT2A,2,010
Subdivisión IXa-Norte,Avilés,ESAVS,1418,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT1A,1,010
Subdivisión IXa-Norte,Marín,ESMPG,921,BACA_CN,BACA,MT2A,2,010
Subdivisión IXa-Norte,Finisterre,ESFNE,913,BETA_CN,BETA,MT1A,1,010
Subdivisión IXa-Norte,Finisterre,ESFNE,913,BETA_CN,BETA,MT2A,2,010
Subdivisión IXa-Norte,Muros,ESMRS,914,BETA_CN,BETA,MT2A,2,010
Subdivisión IXa-Norte,Muros,ESMRS,914,NASAPULP_CN,NASA,MT1A,1,010
Subdivisión IXa-Norte,Muros,ESMRS,914,NASAPULP_CN,NASA,MT2A,2,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,PAREJA_CN,PAREJA,MT2A,2,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,CERCO_CN,CERCO,MT2A,2,010
Subdivisión IXa-Norte,Vigo,ESVGO,922,BACA_CN,BACA,MT1A,1,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,JURELERA_CN,BACA,MT1A,1,010
Subdivisión IXa-Norte,Finisterre,ESFNE,913,TRASMALL_CN,TRASMALLO,MT1A,1,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,BACA_CN,BACA,MT1A,1,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,BACA_CN,BACA,MT2A,2,010
Subdivisión IXa-Norte,Finisterre,ESFNE,913,BETA_CN,VOLANTA,MT2A,2,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,BETA_CN,BETA,MT2A,2,010
Subdivisión IXa-Norte,Santa Eugenia de Ribeira,ESSNI,917,BETA_CN,BETA,MT1A,1,010
Subdivisión IXa-Sur,Cádiz,ESCAD,101,CERCO_GC,CERCO,MT2B,4,011
Subdivisión IXa-Sur,Cádiz,ESCAD,101,CERCO_GC,CERCO,MT1A,1,011
Subdivisión IXa-Sur,Barbate,ESBDF,103,SABLE_GC,PALANGRE DE FONDO,MT2A,2,011
Subdivisión IXa-Sur,Ayamonte,ESAYA,109,BACA_GC,BACA,MT2B,4,011
Subdivisión IXa-Sur,Barbate,ESBDF,103,CERCO_GC,CERCO,MT2A,2,011
Subdivisión IXa-Sur,Isla Cristina,ESZGA,110,BACA_GC,BACA,MT2B,4,011
Subdivisión IXa-Sur,Sanlúcar de Barrameda,ESSBA,116,CERCO_GC,CERCO,MT2B,4,011
Subdivisión IXa-Sur,Puerto de Santa María,ESPSM,118,CERCO_GC,CERCO,MT2B,4,011
Subdivisión IXa-Sur,Barbate,ESBDF,103,BACA_GC,BACA,MT2B,4,011
Subdivisión IXa-Sur,Sanlúcar de Barrameda,ESSBA,116,CERCO_GC,CERCO,MT1A,1,011
Subdivisión IXa-Sur,Tarifa,ESTRF,105,VORACERA_GC,LINEAS MOVILES,MT2A,2,011
Subdivisión IXa-Sur,Isla Cristina,ESZGA,110,CERCO_GC,CERCO,MT1A,1,011
Subdivisión IXa-Sur,Isla Cristina,ESZGA,110,CERCO_GC,CERCO,MT2B,4,011
Subdivisión IXa-Sur,Punta Umbría,ESZJY,114,BACA_GC,BACA,MT2B,4,011
Subdivisión IXa-Sur,Punta Umbría,ESZJY,114,CERCO_GC,CERCO,MT2B,4,011
Subdivisión IXa-Sur,Sanlúcar de Barrameda,ESSBA,116,BACA_GC,BACA,MT2B,4,011
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,JURELERA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,BACA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Luarca,ESLUA,1420,VOLANTA_CN,VOLANTA,MT2A,2,008
Subdivisión VIIIc-Este,A Coruña,ESLCG,907,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,JURELERA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,BETA_CN,BETA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,TRASMALL_CN,TRASMALLO,MT2A,2,008
Subdivisión VIIIc-Este,San Vicente de la Barquera,ESSVB,405,RASCO_CN,RASCO,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,BACA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,San Vicente de la Barquera,ESSVB,405,RASCO_CN,RASCO,MT1A,1,008
Subdivisión VIIIc-Este,Santa Eugenia de Ribeira,ESSNI,917,JURELERA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,A Coruña,ESLCG,907,PALANGRE_CN,PALANGRE DE FONDO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,TRASMALL_CN,TRASMALLO,MT1A,1,008
Subdivisión VIIIc-Este,A Coruña,ESLCG,907,PAREJA_CN,PAREJA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,PAREJA_CN,PAREJA,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,PAREJA_CN,PAREJA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,VOLANTA_CN,VOLANTA,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,BETA_CN,BETA,MT1A,1,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,TRASMALL_CN,TRASMALLO,MT2A,2,008
Subdivisión VIIIc-Este,Cedeira,ESCED,904,RASCO_CN,RASCO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,CERCO_CN,CERCO,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,NASAPULP_CN,NASA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,VOLANTA_CN,VOLANTA,MT1A,1,008
Subdivisión VIIIc-Este,Burela,ESBRL,925,JURELERA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Santoña,ESSNN,409,CERCO_CN,CERCO,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,JURELERA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Santa Eugenia de Ribeira,ESSNI,917,PAREJA_CN,PAREJA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,RASCO_CN,RASCO,MT1A,1,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT2A,2,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,NASAPULP_CN,NASA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,TRASMALL_CN,TRASMALLO,MT1A,1,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,VOLANTA_CN,VOLANTA,MT2A,2,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,TRASMALL_CN,MIÑO,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,BACA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Burela,ESBRL,925,BACA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,LIN_CABALLA,LINEAS FIJAS,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,BACA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,JURELERA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,NASA_NECORA,NASA,MT1A,1,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT1A,1,008
Subdivisión VIIIc-Este,Santa Eugenia de Ribeira,ESSNI,917,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,LIN_CABALLA,LINEAS FIJAS,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,BACA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,LIN_CALAMAR,LINEAS FIJAS,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,LIN_MERLUZA,LINEAS FIJAS,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,LIN_CABALLA,LINEAS FIJAS,MT2A,2,008
Subdivisión VIIIc-Este,Santa Eugenia de Ribeira,ESSNI,917,PALANGRE_CN,PALANGRES,MT2A,2,008
Subdivisión VIIIc-Este,Santoña,ESSNN,409,LIN_CABALLA,LINEAS FIJAS,MT2A,2,008
Subdivisión VIIIc-Este,Santoña,ESSNN,409,RASCO_CN,RASCO,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,TRASMALL_CN,TRASMALLO,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,NASA_PECES,NASA,MT1A,1,008
Subdivisión VIIIc-Este,Santoña,ESSNN,409,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,JURELERA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,BETA_CN,BETA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,JURELERA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,JURELERA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Gijón,ESGIJ,1417,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Marín,ESMPG,921,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,PAREJA_CN,PAREJA,MT1A,1,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,TRASMALL_CN,TRASMALLO,MT1A,1,009
Subdivisión VIIIc-Oeste,Cedeira,ESCED,904,VOLANTA_CN,VOLANTA,MT2A,2,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,CERCO_CN,CERCO,MT1A,1,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,JURELERA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,LIN_CABALLA,LINEAS FIJAS,MT1A,1,009
Subdivisión VIIIc-Oeste,Finisterre,ESFNE,913,BETA_CN,BETA,MT1A,1,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,CERCO_CN,CERCO,MT2A,2,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,BACA_CN,BACA,MT1A,1,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,NASAPULP_CN,NASA,MT2A,2,009
Subdivisión VIIIc-Oeste,Cedeira,ESCED,904,RASCO_CN,RASCO,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,PAREJA_CN,PAREJA,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,CERCO_CN,CERCO,MT2A,2,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT1A,1,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,PAREJA_CN,PAREJA,MT2A,2,009
Subdivisión VIIIc-Oeste,Burela,ESBRL,925,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,PALANGRE_CN,PALANGRE DE FONDO,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,JURELERA_CN,BACA,MT1A,1,009
Subdivisión VIIIc-Oeste,Burela,ESBRL,925,JURELERA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Finisterre,ESFNE,913,VOLANTA_CN,VOLANTA,MT1A,1,009
